amount_level,country_risk,device_type,login_time,merchant_type,failed_attempts,fraud
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Unusual,Electronics,No,No
Low,Local,Unknown,Unusual,Grocery,Yes,Yes
High,Local,Unknown,Normal,Grocery,No,Yes
High,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Unknown,Normal,Electronics,No,No
Medium,Local,Known,Unusual,Electronics,No,Yes
Low,Local,Known,Unusual,Grocery,No,No
Medium,Local,Unknown,Normal,Grocery,No,Yes
Medium,Local,Known,Unusual,Electronics,No,Yes
Low,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Unusual,Travel,No,No
Medium,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Unusual,Electronics,No,No
Medium,Foreign,Unknown,Normal,Crypto,No,Yes
Medium,Foreign,Known,Normal,Grocery,No,Yes
Low,Foreign,Unknown,Normal,Electronics,Yes,No
High,HighRisk,Known,Unusual,Grocery,Yes,No
High,Local,Known,Unusual,Electronics,No,No
Low,Local,Known,Unusual,Electronics,No,No
Low,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Foreign,Known,Normal,Travel,No,No
High,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,HighRisk,Known,Normal,Electronics,No,No
High,Local,Known,Normal,Travel,No,No
Medium,Local,Known,Normal,Electronics,No,No
Medium,Local,Unknown,Normal,Travel,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Unusual,Travel,No,Yes
Low,Local,Unknown,Normal,Crypto,No,No
Low,Foreign,Known,Unusual,Electronics,No,No
High,Local,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Normal,Grocery,No,No
High,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,Yes
Medium,Local,Known,Normal,Electronics,No,No
High,Local,Unknown,Normal,Electronics,No,Yes
Medium,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Electronics,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Foreign,Known,Normal,Grocery,No,Yes
Medium,Local,Known,Unusual,Electronics,No,No
Low,Local,Unknown,Normal,Grocery,Yes,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,HighRisk,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Travel,No,No
Medium,HighRisk,Known,Unusual,Crypto,No,Yes
High,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Unknown,Normal,Grocery,Yes,Yes
Medium,Foreign,Unknown,Normal,Travel,No,Yes
High,Local,Known,Normal,Electronics,No,No
Low,Local,Unknown,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Foreign,Known,Normal,Crypto,No,No
Medium,HighRisk,Known,Normal,Crypto,No,No
Medium,Local,Unknown,Normal,Travel,No,No
Low,Local,Known,Unusual,Grocery,Yes,No
Low,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,Yes,Yes
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Normal,Grocery,No,No
Low,Local,Unknown,Unusual,Travel,Yes,Yes
Medium,Local,Known,Normal,Electronics,Yes,No
Medium,Local,Unknown,Normal,Electronics,No,Yes
Low,Foreign,Known,Unusual,Grocery,No,Yes
Medium,Foreign,Known,Unusual,Travel,No,No
High,Local,Known,Unusual,Travel,No,Yes
High,Local,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Grocery,No,No
High,Local,Known,Normal,Grocery,Yes,Yes
Low,Local,Known,Normal,Crypto,Yes,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Crypto,No,No
High,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Travel,No,Yes
Medium,HighRisk,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Crypto,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Low,Foreign,Known,Normal,Travel,No,No
Low,Foreign,Unknown,Unusual,Electronics,No,Yes
Medium,HighRisk,Unknown,Normal,Grocery,No,Yes
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,Yes,No
High,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Crypto,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Travel,Yes,Yes
Low,Foreign,Known,Normal,Grocery,Yes,No
Medium,Local,Known,Unusual,Crypto,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Low,Foreign,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,Yes
High,Local,Known,Normal,Grocery,No,Yes
High,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Known,Normal,Travel,Yes,Yes
Low,Local,Known,Unusual,Travel,No,No
Medium,Local,Unknown,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Low,Local,Unknown,Normal,Travel,No,Yes
Low,Local,Unknown,Normal,Travel,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Unknown,Unusual,Electronics,No,Yes
Medium,Local,Known,Normal,Crypto,No,No
Low,Foreign,Unknown,Normal,Electronics,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Foreign,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Crypto,No,No
Medium,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,HighRisk,Unknown,Normal,Travel,No,Yes
Low,HighRisk,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Crypto,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Low,Local,Unknown,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
High,Foreign,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Electronics,No,No
Medium,Foreign,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Medium,Local,Known,Unusual,Electronics,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Travel,No,No
Low,Local,Unknown,Normal,Electronics,Yes,No
Medium,Local,Known,Normal,Grocery,Yes,Yes
Medium,Local,Known,Unusual,Travel,No,No
Low,Local,Known,Normal,Electronics,No,No
High,Local,Unknown,Normal,Electronics,No,No
Medium,HighRisk,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Travel,No,No
Low,HighRisk,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Grocery,No,No
Low,HighRisk,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,Yes,No
High,Foreign,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Travel,No,No
Medium,Foreign,Known,Normal,Grocery,No,Yes
Low,Foreign,Unknown,Normal,Grocery,Yes,Yes
High,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Crypto,No,No
High,Local,Known,Unusual,Electronics,No,No
High,Foreign,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Unknown,Normal,Grocery,No,Yes
Low,Local,Known,Normal,Crypto,Yes,No
Medium,Foreign,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Travel,No,No
Medium,Foreign,Known,Normal,Grocery,No,Yes
Medium,HighRisk,Known,Unusual,Grocery,No,Yes
Low,Local,Known,Normal,Grocery,Yes,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Normal,Crypto,No,Yes
Low,Local,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Electronics,No,No
Medium,Local,Known,Normal,Electronics,No,No
Low,HighRisk,Known,Unusual,Grocery,Yes,No
Low,Local,Known,Normal,Crypto,No,No
Medium,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Unusual,Electronics,No,No
Low,Local,Known,Unusual,Grocery,Yes,No
High,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Travel,Yes,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Medium,Local,Known,Unusual,Electronics,Yes,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,Yes,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,Yes,No
Low,Local,Known,Unusual,Electronics,No,No
High,HighRisk,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
High,Foreign,Unknown,Normal,Crypto,No,Yes
Low,HighRisk,Unknown,Normal,Grocery,No,Yes
Medium,Local,Known,Normal,Crypto,No,No
High,Local,Unknown,Normal,Grocery,No,No
Low,Local,Unknown,Unusual,Grocery,No,Yes
Low,Local,Unknown,Unusual,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Grocery,No,Yes
Low,Local,Known,Normal,Crypto,No,No
Medium,HighRisk,Known,Normal,Travel,No,Yes
Low,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Crypto,No,Yes
Low,Local,Unknown,Normal,Grocery,No,No
High,Foreign,Unknown,Normal,Grocery,No,Yes
Low,Local,Unknown,Normal,Electronics,No,No
Medium,Local,Known,Normal,Grocery,No,Yes
Low,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Unusual,Travel,Yes,Yes
Low,Foreign,Known,Unusual,Grocery,No,Yes
Medium,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Crypto,Yes,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,Yes,Yes
High,Foreign,Unknown,Normal,Grocery,Yes,No
Medium,Local,Known,Unusual,Travel,No,No
Low,Local,Known,Unusual,Grocery,No,No
High,Local,Known,Unusual,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,HighRisk,Unknown,Normal,Travel,Yes,Yes
Medium,Foreign,Known,Normal,Travel,No,No
Medium,HighRisk,Known,Normal,Grocery,No,No
Medium,Local,Unknown,Normal,Travel,No,No
High,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Unusual,Crypto,No,Yes
Low,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Normal,Crypto,Yes,Yes
Low,Local,Known,Normal,Travel,Yes,Yes
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Medium,Local,Unknown,Normal,Crypto,No,No
Medium,Foreign,Known,Normal,Travel,No,No
High,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Medium,Local,Known,Normal,Grocery,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Unusual,Grocery,No,No
Low,Foreign,Unknown,Normal,Grocery,No,No
Low,HighRisk,Known,Normal,Travel,No,Yes
Medium,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Unusual,Travel,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Unusual,Grocery,No,Yes
Medium,Local,Known,Normal,Grocery,No,No
Medium,HighRisk,Unknown,Normal,Grocery,No,Yes
Low,Local,Unknown,Normal,Electronics,No,No
Low,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Unknown,Unusual,Grocery,No,No
High,Foreign,Known,Normal,Grocery,Yes,No
Medium,Local,Unknown,Normal,Travel,No,No
Low,Local,Known,Normal,Crypto,No,No
Low,Local,Unknown,Normal,Electronics,Yes,No
High,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Unknown,Normal,Crypto,No,Yes
Medium,Local,Known,Normal,Grocery,Yes,No
Medium,Foreign,Known,Normal,Grocery,Yes,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Grocery,No,No
High,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,Yes,No
Medium,Local,Unknown,Normal,Grocery,Yes,Yes
High,Local,Known,Normal,Electronics,No,No
Medium,HighRisk,Unknown,Normal,Grocery,No,Yes
Low,Foreign,Unknown,Unusual,Grocery,No,Yes
Medium,Local,Unknown,Unusual,Crypto,No,Yes
Medium,Local,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Medium,Foreign,Unknown,Unusual,Electronics,No,No
High,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Crypto,Yes,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
High,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,Yes,Yes
Low,Local,Known,Normal,Grocery,No,Yes
High,Local,Known,Normal,Electronics,No,No
High,Local,Known,Normal,Travel,No,No
Medium,HighRisk,Known,Normal,Crypto,No,Yes
Medium,Local,Known,Normal,Crypto,No,No
Low,Foreign,Known,Unusual,Travel,No,No
Low,Local,Known,Unusual,Travel,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Unusual,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
High,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,HighRisk,Known,Normal,Travel,Yes,No
Low,Local,Known,Unusual,Travel,No,Yes
Low,Local,Known,Unusual,Electronics,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Electronics,No,No
Low,Local,Unknown,Normal,Grocery,No,No
High,Local,Unknown,Unusual,Grocery,Yes,Yes
Low,Local,Known,Normal,Grocery,No,No
Medium,HighRisk,Known,Unusual,Grocery,No,Yes
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Crypto,No,No
Medium,Local,Known,Normal,Crypto,No,Yes
Low,Local,Unknown,Normal,Grocery,No,No
High,Local,Unknown,Normal,Grocery,No,Yes
Low,HighRisk,Known,Normal,Grocery,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Unknown,Unusual,Crypto,No,Yes
High,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Crypto,No,No
Medium,Foreign,Known,Normal,Grocery,Yes,No
Low,Foreign,Known,Normal,Travel,Yes,No
High,Foreign,Unknown,Unusual,Grocery,Yes,Yes
Low,HighRisk,Known,Normal,Electronics,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Crypto,No,No
Medium,Foreign,Known,Normal,Crypto,No,No
Low,Foreign,Known,Unusual,Travel,No,No
Medium,Foreign,Unknown,Unusual,Electronics,No,Yes
Low,Local,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Medium,HighRisk,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Electronics,No,No
High,Foreign,Known,Normal,Travel,No,No
Low,Foreign,Unknown,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Grocery,No,Yes
Medium,Local,Unknown,Normal,Grocery,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Low,Foreign,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Electronics,Yes,No
Medium,Local,Known,Unusual,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Medium,Foreign,Unknown,Normal,Electronics,No,Yes
Low,Local,Known,Unusual,Travel,No,No
Low,Foreign,Known,Normal,Grocery,Yes,No
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Unknown,Unusual,Travel,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Low,Foreign,Unknown,Normal,Grocery,No,Yes
Low,HighRisk,Unknown,Normal,Electronics,No,Yes
Medium,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Foreign,Unknown,Unusual,Grocery,No,No
Low,Local,Known,Normal,Grocery,Yes,No
High,Local,Known,Unusual,Grocery,No,Yes
Low,Local,Known,Normal,Grocery,Yes,No
Low,Foreign,Known,Unusual,Crypto,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Unusual,Grocery,No,Yes
Medium,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Unusual,Crypto,No,Yes
High,Local,Known,Normal,Grocery,No,Yes
Medium,HighRisk,Unknown,Normal,Crypto,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Electronics,Yes,No
Medium,HighRisk,Known,Normal,Electronics,No,Yes
Low,Local,Unknown,Unusual,Grocery,No,Yes
Medium,Local,Known,Unusual,Grocery,No,No
Low,Foreign,Known,Normal,Crypto,No,Yes
Low,Foreign,Known,Normal,Grocery,Yes,No
High,Local,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Grocery,No,No
High,Foreign,Known,Unusual,Crypto,No,No
Low,Local,Known,Normal,Travel,Yes,Yes
High,Local,Unknown,Normal,Electronics,No,Yes
Medium,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Low,Local,Unknown,Normal,Grocery,No,Yes
Low,Local,Unknown,Normal,Electronics,No,No
Medium,Local,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Crypto,Yes,No
Low,Local,Known,Unusual,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Crypto,No,Yes
Medium,Local,Known,Normal,Grocery,Yes,Yes
Low,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Crypto,No,No
High,Foreign,Known,Normal,Electronics,No,No
Low,Local,Unknown,Normal,Travel,No,No
Medium,Local,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Medium,Foreign,Known,Normal,Grocery,Yes,Yes
Low,Foreign,Known,Normal,Travel,Yes,No
Low,Local,Known,Normal,Crypto,No,No
Low,Local,Known,Normal,Electronics,No,No
High,Local,Known,Normal,Travel,No,No
High,Local,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Travel,No,Yes
Medium,Local,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Known,Unusual,Grocery,No,No
High,Foreign,Known,Normal,Electronics,No,Yes
Low,HighRisk,Unknown,Normal,Electronics,No,No
Low,HighRisk,Known,Unusual,Travel,No,Yes
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Unknown,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Unknown,Normal,Travel,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Grocery,Yes,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Travel,No,No
Low,Local,Unknown,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,Yes,No
Medium,Local,Known,Normal,Crypto,Yes,No
Low,Local,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Crypto,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Electronics,No,No
High,Foreign,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Electronics,No,Yes
Low,Local,Known,Normal,Travel,Yes,No
Low,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Known,Unusual,Grocery,Yes,Yes
Medium,Local,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Medium,Foreign,Unknown,Normal,Grocery,No,Yes
Low,Local,Known,Unusual,Crypto,No,Yes
Medium,Foreign,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Low,Local,Unknown,Normal,Travel,No,No
Medium,Local,Known,Unusual,Electronics,No,No
Low,Local,Unknown,Unusual,Grocery,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Low,Local,Known,Normal,Travel,No,No
Medium,Foreign,Unknown,Unusual,Travel,No,Yes
Medium,Foreign,Known,Normal,Crypto,No,No
Medium,Local,Unknown,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Travel,No,No
High,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Known,Normal,Travel,No,No
Low,Local,Unknown,Normal,Electronics,No,No
